Date,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20,Jul 20,Aug 20,Sep 20,Oct 20,Nov 20,Dec 20,Jan 21,Feb 21,Mar 21,Apr 21,May 21,Jun 21,Jul 21,Aug 21,Sep 21,Oct 21,Nov 21,Dec 21,Jan 22,Feb 22,Mar 22,Apr 22,May 22,Jun 22,Jul 22,Aug 22,Sep 22,Oct 22,Nov 22,Dec 22,Jan 23
India,0,0,11,51,430,693,720,619,443,195,291,876,453,679,2586,2804,6597,14384,10038,6756,16864,7313,11986,16718,16061,24862,38239,15488,6241,8046,13200,21866,13133,8631,4616,2730,1741
Indonesia,0,0,4,2,13,7,0,8,37,43,6,20,198,130,434,316,603,727,1404,1885,1081,1542,802,2213,3430,5161,2485,1393,671,1292,3898,3922,2626,2187,3722,2702,1800
Iran,0,0,22,3,18,32,2,2,33,58,16,33,41,22,3,1,90,130,92,0,0,12,563,26,34,181,285,269,172,532,165,174,196,82,844,158,58
Iraq,0,0,0,0,0,0,0,47,0,2,0,3,31,0,48,65,3,36,8,3,28,1,21,1,111,51,1,460,168,0,19,0,204,0,8,31,8
Ireland,0,0,13,0,5,0,46,87,45,245,224,548,692,1469,3691,3669,3060,3529,4854,5416,5299,4625,4141,4807,5613,4518,5956,4839,4046,5648,5468,5354,3342,2480,3586,2258,2069
Israel,0,0,0,2,220,68,20,89,0,11,48,56,805,872,2032,3067,4571,400,2046,1454,352,4394,8604,7849,6527,7979,6799,15272,10597,14364,19989,11671,4842,3686,5625,1502,948
Italy,2,3,23,30,53,62,85,56,413,143,108,421,1631,4188,9065,8827,7489,5175,8551,9767,7823,6681,6940,12028,9844,7993,7549,6984,7115,4288,8342,6986,5627,4271,3836,6218,2736
Jamaica,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,0,16,0,138,10,55,77,65,184,125,229,392,170,83,403,157,343,0,0,0,0
Japan,1,9,77,18,30,36,461,0,14,163,108,8736,7403,351,4624,8746,19468,715,12799,12757,21469,61593,2649,23438,10718,12281,31633,23102,32017,19416,33107,41379,39278,25701,24944,32885,29083
Jordan,0,0,0,24,4,0,0,0,0,0,198,313,42,11,15,0,23,35,20,4,95,133,252,97,42,80,66,17,32,30,1,5,10,0,0,0,0
Kazakhstan,0,0,0,0,53,0,0,3,0,0,0,0,0,0,68,49,97,65,14,9,75,109,0,96,24,0,0,0,0,284,554,0,0,0,267,0,0
Kenya,0,0,0,0,0,112,0,0,0,178,0,0,225,172,5,176,12,589,914,2,1043,295,1039,730,337,1127,1524,722,548,640,671,214,10,354,201,134,52
Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,107,0,0,0,0,0
Kosovo,0,0,0,0,0,0,0,0,4,1,3,0,1,21,0,0,0,0,21,28,402,348,63,95,35,11,86,175,80,78,0,93,0,165,0,0,0
Kuwait,0,0,4,4,0,0,0,0,0,0,0,3,16,0,5,0,0,32,132,35,44,48,31,39,209,0,58,19,0,146,70,30,34,61,64,99,75
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,100,2,0,0,1,147,69,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,18,0,0,6,96,172,145,35,23,0,80,338,0
